StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1-1_1,1-2_1,1-3_1,1-4_1,1-5_1,1-6_1,1-7_1,1-8_1,1-9_1,1-10_1,1-11_1,1-12_1,2-1_1,2-2_1,2-3_1,2-4_1,2-5_1,2-6_1,2-7_1,2-8_1,2-9_1,2-10_1,2-11_1,2-12_1,3-1_1,3-2_1,3-3_1,3-4_1,3-5_1,3-6_1,3-7_1,3-8_1,3-9_1,3-10_1,2-11_1,2-12_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Desk - Click to write Choice 1,Did you find this explanation useful? - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,"Desk

​​​​​​​ - Typicality Least to Most",Desk - Typicality Least to Most,Desk - Typicality Least to Most,Desk - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Click to write Choice 1,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Guinea Pig - Typicality Least to Most,Why did you choose to take the question tour? - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most,Starfish - Typicality Least to Most
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}"
2022-05-02 13:33:22,2022-05-02 13:34:00,1,,100,37,1,2022-05-02 13:34:01,R_3LcAIjlSvZyMqoP,,,,,40.7359,-73.9904,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-02 13:43:08,2022-05-02 13:48:21,0,174.250.2.5,100,313,1,2022-05-02 13:48:22,R_2YxrD4cRvE19DM0,,,,,37.751,-97.822,qr,EN,5,4,5,5,7,5,7,6,6,2,2,3,4,4,6,7,6,2,3,2,4,2,7,1,7,7,2,6,5,4,3,2,2,4,4,5
2022-05-02 13:47:37,2022-05-02 13:49:48,0,66.65.189.195,100,130,1,2022-05-02 13:49:48,R_yxSPOhQ4rG7PY9b,,,,,40.712,-74.0163,anonymous,EN,6,4,7,6,7,5,6,7,7,3,3,2,7,7,7,7,7,5,5,5,6,5,7,2,7,7,2,7,7,7,7,2,3,4,5,7
2022-05-02 13:36:33,2022-05-02 13:50:30,0,107.77.226.226,100,836,1,2022-05-02 13:50:30,R_1E6dDZhZE5eG9Mw,,,,,40.8123,-73.9682,qr,EN,3,4,,,5,4,6,6,5,,2,2,4,5,6,5,5,3,3,2,3,4,6,1,6,6,2,4,2,3,2,2,3,2,2,4
2022-05-02 13:47:32,2022-05-02 13:50:32,0,71.172.124.250,100,180,1,2022-05-02 13:50:33,R_1hNkvIEkNwTaZxH,,,,,40.734,-74.0712,anonymous,EN,5,5,4,4,5,5,7,7,7,1,,2,7,7,7,7,7,5,5,5,6,7,6,3,7,7,3,7,7,6,7,,2,7,7,7
2022-05-02 13:48:32,2022-05-02 13:50:43,0,50.225.16.155,100,130,1,2022-05-02 13:50:43,R_10wmUBnc7XlAhuI,,,,,42.509,-71.1984,anonymous,EN,5,3,6,4,6,4,7,7,6,2,2,3,6,5,7,7,6,4,5,3,5,5,6,2,6,7,1,7,5,5,4,2,3,4,4,5
2022-05-02 13:44:31,2022-05-02 13:50:49,0,216.165.95.133,100,377,1,2022-05-02 13:50:49,R_2bZctX8xNWgJw5a,,,,,40.7359,-73.9904,anonymous,EN,5,4,3,3,4,2,7,7,7,2,2,4,4,4,7,6,5,3,4,3,3,5,6,2,6,6,2,4,4,3,3,2,2,2,3,2
2022-05-02 13:47:34,2022-05-02 13:51:56,0,216.165.95.160,100,261,1,2022-05-02 13:51:56,R_1KoNslzN0m8LK85,,,,,40.7359,-73.9904,anonymous,EN,7,5,5,4,7,5,7,7,7,2,3,6,6,5,7,7,5,4,4,3,4,3,6,3,7,7,3,7,7,7,7,2,3,5,6,7
